Date,Time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftElbow_x,LeftElbow_y,LeftElbow_z,LeftWrist_xLeftWrist_y,,LeftWrist_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightElbow_x,RightElbow_y,RightElbow_z,RightWrist_x,RightWrist_y,RightWrist_z,RightHand_x,RightHand_y,RightHand_z,,,
2015-01-12,11:33:38.255,-158.2957,279.043,-1276.236,-125.8757,131.996,-1353.335,-270.1791,63.82128,-1374.955,-282.9091,-90.54604,-1425.443,-245.8315,-255.3175,-1415.73,-243.5014,-308.1336,-1404.942,-5.562294,86.98582,-1375.709,27.65733,-93.19245,-1273.698,13.71509,-231.4757,-1083.736,19.12697,-284.1478,-1033.482,,,
2015-01-12,11:33:38.324,-155.0916,281.2851,-1280.652,-124.7795,133.5125,-1355.211,-269.0829,65.3378,-1376.831,-275.3853,-113.8457,-1419.438,-242.1822,-279.1779,-1420.355,-241.3338,-332.4078,-1411.679,-4.135407,86.76621,-1377.305,29.58527,-89.21187,-1273.797,15.09132,-228.5707,-1084.695,20.18289,-281.3474,-1034.553,,,
2015-01-12,11:33:38.411,-152.8753,282.0185,-1283.878,-123.788,133.4658,-1359.376,-273.5054,61.74538,-1408.869,-275.3963,-113.9634,-1419.754,-242.757,-279.4197,-1420.482,-241.5073,-332.7705,-1412.748,-2.643554,87.1856,-1379.165,32.90179,-86.68074,-1270.081,20.35724,-225.2854,-1080.252,27.8696,-274.9943,-1027.385,,,
2015-01-12,11:33:38.483,-151.4799,284.1919,-1287.836,-121.3567,135.1493,-1363.603,-267.884,58.38371,-1412.406,-272.1091,-108.4538,-1421.444,-247.7406,-275.4156,-1420.11,-246.585,-328.9653,-1413.958,-1.250858,87.47048,-1380.583,47.61644,-79.132,-1258.464,72.90657,-209.8326,-1064.176,84.5526,-260.1905,-1012.707,,,
2015-01-12,11:33:38.561,-151.6253,285.1268,-1289.806,-120.0843,137.2688,-1364.475,-266.9664,57.54644,-1411.816,-273.0322,-110.2906,-1422.581,-246.1533,-276.9345,-1419.565,-243.8552,-330.4517,-1413.514,-0.2212712,88.16132,-1381.211,68.97437,-72.39928,-1241.35,120.1202,-199.4948,-1051.086,146.6979,-287.2903,-950.4525,,,
2015-01-12,11:33:38.650,-152.2806,285.7187,-1291.056,-120.6942,137.6792,-1364.787,-267.7451,55.94814,-1410.99,-278.1461,-109.9715,-1423.888,-242.4337,-274.9829,-1419.536,-238.8291,-328.2278,-1412.058,2.690874,89.43605,-1381.501,109.0148,-57.12584,-1233.674,201.7589,-164.4284,-1056.319,262.6672,-242.6013,-958.1163,,,
2015-01-12,11:33:38.721,-154.3631,286.3128,-1291.841,-121.536,139.5046,-1363.933,-272.7116,56.78411,-1412.061,-277.1374,-109.7308,-1423.123,-244.9767,-275.4649,-1419.373,-238.5966,-328.1866,-1410.219,5.687344,92.71827,-1382.495,136.1798,-38.26619,-1248.359,255.7202,-123.5438,-1100.903,359.3488,-204.0541,-988.1815,,,
2015-01-12,11:33:38.789,-154.5942,286.3818,-1291.633,-121.5331,140.6317,-1363.53,-272.0631,54.07,-1406.909,-276.3744,-111.5962,-1422.654,-244.8064,-277.384,-1420.669,-238.0455,-329.9494,-1410.918,11.12091,95.94148,-1384.136,159.7086,-22.43543,-1272.506,322.9745,-106.9764,-1128.237,424.2591,-170.863,-1048.956,,,
2015-01-12,11:33:38.872,-155.6512,285.6488,-1290.88,-121.6753,140.4713,-1363.401,-271.1391,52.7682,-1400.6,-275.711,-111.7301,-1421.747,-245.5416,-277.6234,-1422.801,-237.9595,-329.9409,-1412.313,14.22497,97.19425,-1385.606,181.3523,-14.096,-1301.35,347.4062,-76.73707,-1208.681,484.7932,-152.8818,-1123.106,,,
2015-01-12,11:33:38.968,-156.5443,284.7449,-1289.354,-121.5524,139.6687,-1363.299,-269.6651,55.09085,-1396.462,-275.4931,-108.9129,-1419.532,-248.1068,-274.9079,-1425.77,-239.0546,-326.7226,-1414.081,19.40794,96.31523,-1388.404,204.6517,-37.45788,-1372.54,370.2593,-52.66764,-1334.524,400.4848,-81.61375,-1332.709,,,
